repo	file	cls	methods	context
beam	sdks/java/core/src/main/java/org/apache/beam/sdk/schemas/transforms/RenameFields.java	use	BitSet(int); get(int); isEmpty()	A transform for renaming fields inside an existing schema. Top level or nested fields can be
beam	sdks/java/core/src/main/java/org/apache/beam/sdk/util/BitSetCoder.java	impl	toByteArray(); valueOf(long[])	Coder for the BitSet used to track child-trigger finished states
beam	sdks/java/core/src/test/java/org/apache/beam/sdk/coders/BitSetCoderTest.java	test		Generated data to check that the wire format has not changed. To regenerate, see {@link
beam	sdks/java/core/src/test/java/org/apache/beam/sdk/schemas/transforms/RenameFieldsTest.java	test		public class RenameFieldsTest
calcite	core/src/main/java/org/apache/calcite/plan/RelOptUtil.java	use	BitSet(int); size()	<code>RelOptUtil</code> defines static utility methods for use in optimizing
calcite	core/src/main/java/org/apache/calcite/profile/ProfilerImpl.java	use	BitSet(); clear(int); or(); size()	Implementation of {@link Profiler} that only investigates "interesting"
calcite	core/src/main/java/org/apache/calcite/profile/SimpleProfiler.java	use	BitSet(); get(int); clear(int); or(); size()	Basic implementation of {@link Profiler}
calcite	core/src/main/java/org/apache/calcite/rel/metadata/RelMdPredicates.java	use	BitSet(); get(int); set(int); nextSetBit(); cardinality()	Utility to infer Predicates that are applicable above a RelNode
calcite	core/src/main/java/org/apache/calcite/rel/rules/AggregateJoinTransposeRule.java	use	BitSet(); get(int); set(int)	Planner rule that pushes an
calcite	core/src/main/java/org/apache/calcite/rel/rules/HyperGraph.java	use	BitSet(); get(int); set(int); set(int,bool); and(); or(); andNot(); stream(); equals()	HyperGraph represents a join graph
calcite	core/src/main/java/org/apache/calcite/rel/rules/LoptMultiJoin.java	use	get(int)	Utility class that keeps track of the join factors that
calcite	core/src/main/java/org/apache/calcite/rel/rules/LoptOptimizeJoinRule.java	use	BitSet(int); get(int); set(int); clear(int); and(); or(); cardinality()	Planner rule that implements the heuristic planner for determining optimal
calcite	core/src/main/java/org/apache/calcite/rel/rules/ProjectCorrelateTransposeRule.java	use	BitSet(); set(int)	Planner rule that pushes a {@link Project} under {@link Correlate} to apply
calcite	core/src/main/java/org/apache/calcite/rel/rules/PushProjector.java	use	BitSet(int); set(int); set(from,to); or(); nextSetBit(); isEmpty(); cardinality()	PushProjector is a utility class used to perform operations used in push
calcite	core/src/main/java/org/apache/calcite/rex/RexSimplify.java	use	BitSet(); get(int); set(int)	Context required to simplify a row-expression
calcite	core/src/main/java/org/apache/calcite/sql/validate/SqlValidatorImpl.java	use	BitSet(); get(int); set(int); isEmpty()	Default implementation of {@link SqlValidator}
calcite	core/src/main/java/org/apache/calcite/sql2rel/SqlToRelConverter.java	use	BitSet(); set(int); cardinality()	Converts a SQL parse tree (consisting of
calcite	core/src/main/java/org/apache/calcite/tools/RelBuilder.java	use	BitSet(); get(int); set(int)	Builder for relational expressions
calcite	core/src/main/java/org/apache/calcite/util/ArrowSet.java	use	BitSet(); get(int); set(int); stream()	Represents a set of functional dependencies. Each functional dependency is an {@link Arrow}
calcite	core/src/main/java/org/apache/calcite/util/BitSets.java	impl	BitSet(); get(int); set(int); set(from,to); or(); nextSetBit(); cardinality(); length(); clone()	Utility functions for {@link BitSet}
calcite	core/src/main/java/org/apache/calcite/util/ImmutableBitSet.java	impl	get(int); clone()	An immutable list of bits
calcite	core/src/main/java/org/apache/calcite/util/mapping/Mappings.java	use	BitSet(); set(int); equals()	Utility functions related to mappings
calcite	core/src/test/java/org/apache/calcite/util/BitSetsTest.java	test		Unit test for {@link org.apache.calcite.util.BitSets}
calcite	core/src/test/java/org/apache/calcite/util/UtilTest.java	test		Unit test for {@link Util} and other classes in this package
calcite	testkit/src/main/java/org/apache/calcite/test/schemata/catchall/CatchallSchema.java	test		Object whose fields are relations. Called "catch-all" because it's OK
cassandra	src/java/org/apache/cassandra/hints/HintsDispatcher.java	use	BitSet(int); get(int); set(int); size()	Dispatches a single hints file to a specified node in a batched manner
cassandra	src/java/org/apache/cassandra/metrics/ThreadLocalMeter.java	use	BitSet(); set(int); clear(int); nextSetBit()	An alternative to Dropwizard Meter which implements the same kind of API
cassandra	src/java/org/apache/cassandra/metrics/ThreadLocalMetrics.java	use	BitSet(); set(int); clear(int); nextSetBit(); cardinality()	A thread-local counter implementation designed to use in metrics as an alternative to LongAdder u...
cassandra	src/java/org/apache/cassandra/service/reads/repair/RowIteratorMergeListener.java	use	BitSet(int); get(int); set(int)	The partition level deletion with with which source {@code i} is currently repaired, or
cassandra	src/java/org/apache/cassandra/utils/MurmurHash.java	use	flip(int); toByteArray(); valueOf(long[])	This is a very fast, non-cryptographic hash suitable for general hash-based
cassandra	test/burn/org/apache/cassandra/concurrent/LongSharedExecutorPoolTest.java	test		public class LongSharedExecutorPoolTest
cassandra	test/burn/org/apache/cassandra/net/Reporters.java	test		final class OneTimeUnit
cassandra	test/distributed/org/apache/cassandra/distributed/test/accord/AccordLoadTest.java	test		public class AccordLoadTest
cassandra	test/harry/main/org/apache/cassandra/harry/model/ASTSingleTableModel.java	test		The common case there can only be 1 value, but in the case of {@link Conditional.In} this can be ...
cassandra	test/long/org/apache/cassandra/dht/tokenallocator/AbstractReplicationAwareTokenAllocatorTest.java	test		Base class for {@link Murmur3ReplicationAwareTokenAllocatorTest} and {@link RandomReplicationAwar...
cassandra	test/microbench/org/apache/cassandra/test/microbench/btree/BTreeTransformBench.java	test		public class BTreeTransformBench
cassandra	test/simulator/main/org/apache/cassandra/simulator/systems/SimulatedFutureActionScheduler.java	test		public class SimulatedFutureActionScheduler
cassandra	test/unit/org/apache/cassandra/concurrent/ManyToOneConcurrentLinkedQueueTest.java	test		public class ManyToOneConcurrentLinkedQueueTest
cassandra	test/unit/org/apache/cassandra/db/compaction/unified/BackgroundCompactionTrackingTest.java	test		public class BackgroundCompactionTrackingTest
checkstyle	src/it/resources/com/google/checkstyle/test/chapter3filestructure/rule331nowildcard/InputNoWildcardImports.java	test		InputNoWildcardImports.java
checkstyle	src/it/resources/com/google/checkstyle/test/chapter3filestructure/rule333orderingandspacing/InputFormattedOrderingAndSpacingValid.java	test		public class InputFormattedOrderingAndSpacingValid
checkstyle	src/it/resources/com/google/checkstyle/test/chapter3filestructure/rule333orderingandspacing/InputFormattedOrderingAndSpacingValid2.java	test		public class InputFormattedOrderingAndSpacingValid2
checkstyle	src/it/resources/com/google/checkstyle/test/chapter3filestructure/rule333orderingandspacing/InputOrderingAndSpacingValid.java	test		public class InputOrderingAndSpacingValid
checkstyle	src/it/resources/com/google/checkstyle/test/chapter3filestructure/rule333orderingandspacing/InputOrderingAndSpacingValid2.java	test		public class InputOrderingAndSpacingValid2
checkstyle	src/main/java/com/puppycrawl/tools/checkstyle/DetailAstImpl.java	use	BitSet(); set(int); or()	The implementation of {@link DetailAST}. This should only be directly used to
checkstyle	src/main/java/com/puppycrawl/tools/checkstyle/checks/FinalParametersCheck.java	use	get(int)	<div>
checkstyle	src/main/java/com/puppycrawl/tools/checkstyle/checks/annotation/MissingDeprecatedCheck.java	use	get(int)	<div>
checkstyle	src/main/java/com/puppycrawl/tools/checkstyle/checks/coding/AvoidDoubleBraceInitializationCheck.java	use	get(int)	<div>
checkstyle	src/main/java/com/puppycrawl/tools/checkstyle/checks/coding/FinalLocalVariableCheck.java	use	get(int)	<div>
checkstyle	src/main/java/com/puppycrawl/tools/checkstyle/checks/coding/IllegalTypeCheck.java	use	BitSet(); get(int); isEmpty()	<div>
checkstyle	src/main/java/com/puppycrawl/tools/checkstyle/checks/coding/InnerAssignmentCheck.java	use	get(int)	<div>
checkstyle	src/main/java/com/puppycrawl/tools/checkstyle/checks/coding/MagicNumberCheck.java	use	get(int)	<div>
checkstyle	src/main/java/com/puppycrawl/tools/checkstyle/checks/coding/ModifiedControlVariableCheck.java	use	get(int)	<div>
checkstyle	src/main/java/com/puppycrawl/tools/checkstyle/checks/coding/MultipleStringLiteralsCheck.java	use	BitSet(); get(int); set(int); clear()	<div>
checkstyle	src/main/java/com/puppycrawl/tools/checkstyle/checks/coding/RequireThisCheck.java	use	get(int)	<div>
checkstyle	src/main/java/com/puppycrawl/tools/checkstyle/checks/design/InnerTypeLastCheck.java	use	get(int)	<div>
checkstyle	src/main/java/com/puppycrawl/tools/checkstyle/checks/header/HeaderCheck.java	use	BitSet(); get(int)	<div>
checkstyle	src/main/java/com/puppycrawl/tools/checkstyle/checks/header/RegexpHeaderCheck.java	use	BitSet(); get(int); cardinality()	<div>
checkstyle	src/main/java/com/puppycrawl/tools/checkstyle/checks/indentation/IndentLevel.java	use	BitSet(); get(int); set(int); or(); nextSetBit(); cardinality(); length()	Encapsulates representation of notion of expected indentation levels
checkstyle	src/main/java/com/puppycrawl/tools/checkstyle/checks/indentation/SlistHandler.java	use	get(int)	Handler for a list of statements
checkstyle	src/main/java/com/puppycrawl/tools/checkstyle/checks/javadoc/AtclauseOrderCheck.java	use	get(int)	<div>
checkstyle	src/main/java/com/puppycrawl/tools/checkstyle/checks/javadoc/JavadocTagInfo.java	use	get(int)	This enum defines the various Javadoc tags and their properties
checkstyle	src/main/java/com/puppycrawl/tools/checkstyle/checks/sizes/MethodLengthCheck.java	use	BitSet(); set(int); set(from,to); cardinality()	<div>
checkstyle	src/main/java/com/puppycrawl/tools/checkstyle/checks/whitespace/ParenPadCheck.java	use	get(int)	<div>
checkstyle	src/main/java/com/puppycrawl/tools/checkstyle/site/SiteUtil.java	use	stream()	Utility class for site generation
checkstyle	src/main/java/com/puppycrawl/tools/checkstyle/utils/CommonUtil.java	use	BitSet()	Contains utility methods
checkstyle	src/main/java/com/puppycrawl/tools/checkstyle/utils/TokenUtil.java	use		Contains utility methods for tokens
checkstyle	src/main/java/com/puppycrawl/tools/checkstyle/utils/XpathUtil.java	use	get(int)	Contains utility methods for xpath
checkstyle	src/test/java/com/puppycrawl/tools/checkstyle/DetailAstImplTest.java	test		TestCase to check DetailAST
checkstyle	src/test/java/com/puppycrawl/tools/checkstyle/bdd/InlineConfigParser.java	test		Pattern for lines under
checkstyle	src/test/java/com/puppycrawl/tools/checkstyle/internal/AllChecksTest.java	test		Checks that an array is a subset of other array
checkstyle	src/test/java/com/puppycrawl/tools/checkstyle/internal/XdocsPagesTest.java	test		Generates xdocs pages from templates and performs validations
checkstyle	src/test/resources/com/puppycrawl/tools/checkstyle/checks/coding/requirethis/InputRequireThisValidateOnlyOverlappingTrue.java	test		public class InputRequireThisValidateOnlyOverlappingTrue
commons-lang	src/main/java/org/apache/commons/lang3/ArrayUtils.java	use	BitSet(); set(int); nextSetBit(); nextClearBit(); cardinality()	Operations on arrays, primitive arrays (like {@code int[]}) and
commons-lang	src/main/java/org/apache/commons/lang3/util/FluentBitSet.java	impl	BitSet(); BitSet(int); get(int); get(from,to); set(int); set(int,bool); set(from,to); set(from,to,bool); clear(); clear(int); clear(from,to); flip(int); flip(from,to); and(); or(); xor(); andNot(); nextSetBit(); nextClearBit(); previousSetBit(); previousClearBit(); isEmpty(); cardinality(); size(); length(); intersects(); toByteArray(); toLongArray(); stream(); clone(); hashCode(); toString()	A fluent {@link BitSet} with additional operations
commons-lang	src/test/java/org/apache/commons/lang3/ArrayUtilsTest.java	test		Tests {@link ArrayUtils}
commons-lang	src/test/java/org/apache/commons/lang3/HashSetvBitSetBenchmark.java	test		Test to show whether using BitSet for removeAll() methods is faster than using HashSet
commons-lang	src/test/java/org/apache/commons/lang3/util/FluentBitSetTest.java	test		Tests {@link FluentBitSet}
druid	benchmarks/src/test/java/org/apache/druid/benchmark/ExpressionSelectorBenchmark.java	test		public class ExpressionSelectorBenchmark
druid	benchmarks/src/test/java/org/apache/druid/benchmark/NullHandlingBitmapGetVsIteratorBenchmark.java	test		public class NullHandlingBitmapGetVsIteratorBenchmark
druid	benchmarks/src/test/java/org/apache/druid/benchmark/compression/CompressedColumnarIntsBenchmark.java	test		public class CompressedColumnarIntsBenchmark
druid	benchmarks/src/test/java/org/apache/druid/benchmark/compression/CompressedVSizeColumnarMultiIntsBenchmark.java	test		public class CompressedVSizeColumnarMultiIntsBenchmark
druid	extensions-contrib/spectator-histogram/src/main/java/org/apache/druid/spectator/histogram/NullableOffsetsHeader.java	use	BitSet(); set(int); cardinality(); length(); toByteArray()	A header for storing offsets for columns with nullable values
druid	processing/src/main/java/org/apache/druid/collections/bitmap/BitSetBitmapFactory.java	impl	valueOf(long[])	BitSetBitmapFactory implements BitmapFactory as a wrapper for java.util.BitSet
druid	processing/src/main/java/org/apache/druid/collections/bitmap/WrappedBitSetBitmap.java	impl	and(); or(); andNot(); clone()	WrappedBitSetBitmap implements MutableBitmap for java.util.BitSet
druid	processing/src/main/java/org/apache/druid/collections/bitmap/WrappedImmutableBitSetBitmap.java	impl	BitSet(); get(int); nextSetBit(); isEmpty(); cardinality(); toByteArray(); valueOf(long[]); clone()	WrappedImmutableBitSetBitmap implements ImmutableBitmap for java.util.BitSet
druid	processing/src/main/java/org/apache/druid/query/dimension/ForwardingFilteredDimensionSelector.java	use		@param selector must return true from {@link DimensionSelector#nameLookupPossibleInAdvance()}
druid	processing/src/main/java/org/apache/druid/query/filter/vector/MultiValueStringVectorValueMatcher.java	use	BitSet(int); get(int); set(int)	public class MultiValueStringVectorValueMatcher
druid	processing/src/main/java/org/apache/druid/query/filter/vector/SingleValueStringVectorValueMatcher.java	use	BitSet(int); get(int); set(int)	public class SingleValueStringVectorValueMatcher
druid	processing/src/main/java/org/apache/druid/query/groupby/GroupByQueryQueryToolChest.java	use	BitSet(); get(int); set(int); nextSetBit(); isEmpty()	Toolchest for GroupBy queries
druid	processing/src/main/java/org/apache/druid/query/groupby/epinephelinae/RowBasedGrouperHelper.java	use	BitSet(int); get(int); set(int); size()	This class contains shared code between {@link GroupByMergingQueryRunner} and {@link GroupByRowPr...
druid	processing/src/main/java/org/apache/druid/query/rowsandcols/LazilyDecoratedRowsAndColumns.java	use	BitSet(int); get(int); set(int); set(int,bool)	public class LazilyDecoratedRowsAndColumns
druid	processing/src/main/java/org/apache/druid/segment/DimensionSelectorUtils.java	use	BitSet(int); get(int); set(int)	Generic implementation of {@link DimensionSelector#makeValueMatcher(String)}, uses {@link
druid	processing/src/main/java/org/apache/druid/segment/RowCombiningTimeAndDimsIterator.java	use	BitSet(); set(int); clear(); nextSetBit()	RowCombiningTimeAndDimsIterator takes some {@link RowIterator}s, assuming that they are "sorted" ...
druid	processing/src/main/java/org/apache/druid/segment/StringDimensionIndexer.java	use	BitSet(int); get(int); set(int)	Truncates the value to the first {@link #maxStringLength} characters if configured, otherwise ret...
druid	processing/src/main/java/org/apache/druid/segment/column/StringUtf8DictionaryEncodedColumn.java	use	BitSet(int); get(int); set(int)	{@link DictionaryEncodedColumn<String>} for a column which has a {@link ByteBuffer} based UTF-8 d...
druid	processing/src/main/java/org/apache/druid/segment/nested/NestedFieldDictionaryEncodedColumn.java	use	BitSet(int); get(int); set(int)	Lookup value from appropriate scalar value dictionary, coercing the value to {@link #logicalType}...
druid	processing/src/main/java/org/apache/druid/segment/nested/VariantColumn.java	use	BitSet(int); get(int); set(int)	{@link NestedCommonFormatColumn} for single type array columns, and mixed type columns. If {@link...
druid	processing/src/test/java/org/apache/druid/collections/IntSetTestUtility.java	test		*/
druid	processing/src/test/java/org/apache/druid/collections/bitmap/BatchIteratorAdapterTest.java	test		public class BatchIteratorAdapterTest
druid	processing/src/test/java/org/apache/druid/collections/bitmap/BitmapOperationAgainstConsecutiveRunsTest.java	test		public class BitmapOperationAgainstConsecutiveRunsTest
druid	processing/src/test/java/org/apache/druid/collections/bitmap/BitmapOperationAgainstUniformDistributionTest.java	test		public class BitmapOperationAgainstUniformDistributionTest
druid	processing/src/test/java/org/apache/druid/collections/bitmap/WrappedBitSetBitmapBitSetTest.java	test		*/
druid	processing/src/test/java/org/apache/druid/java/util/emitter/core/HttpPostEmitterStressTest.java	test		public class HttpPostEmitterStressTest
druid	processing/src/test/java/org/apache/druid/segment/IndexIOTest.java	test		This is mostly a test of the validator
druid	processing/src/test/java/org/apache/druid/segment/data/TestColumnCompression.java	test		public class TestColumnCompression
eclipse-collections	eclipse-collections/src/main/java/org/eclipse/collections/impl/list/immutable/primitive/ImmutableBooleanArrayList.java	use	BitSet(int); get(int); set(int); set(from,to); size(); clone()	ImmutableBooleanArrayList is the non-modifiable equivalent of {@link BooleanArrayList}
eclipse-collections	eclipse-collections/src/main/java/org/eclipse/collections/impl/list/mutable/primitive/BooleanArrayList.java	use	BitSet(); BitSet(int); get(int); set(int); set(from,to); set(from,to,bool); clear(); clear(int); clear(from,to); size()	BooleanArrayList is similar to {@link FastList}, and is memory-optimized for boolean primitives
eclipse-collections	eclipse-collections/src/main/java/org/eclipse/collections/impl/map/mutable/primitive/ObjectBooleanHashMap.java	use	BitSet(int); get(int); set(int,bool); set(from,to); clear(); size(); hashCode()	@since 3.0
eclipse-collections	eclipse-collections/src/main/java/org/eclipse/collections/impl/map/mutable/primitive/ObjectBooleanHashMapWithHashingStrategy.java	use	BitSet(int); get(int); set(int,bool); set(from,to); clear(); size()	@since 7.0
eclipse-collections	unit-tests/src/test/java/org/eclipse/collections/impl/list/mutable/primitive/BooleanArrayListTest.java	test		JUnit test for {@link BooleanArrayList}
eclipse-collections	unit-tests/src/test/java/org/eclipse/collections/impl/map/mutable/primitive/ObjectBooleanHashMapTestCase.java	test		abstract class ObjectBooleanHashMapTestCase
elasticsearch	benchmarks/src/main/java/org/elasticsearch/benchmark/compute/operator/BlockBenchmark.java	test		All data type/block kind combinations to be loaded before the benchmark
elasticsearch	modules/lang-painless/src/main/java/org/elasticsearch/painless/ClassWriter.java	use		Manages the top level writers for class and possibly
elasticsearch	modules/lang-painless/src/main/java/org/elasticsearch/painless/Def.java	use	BitSet(int); get(int); set(int); length()	Support for dynamic type (def)
elasticsearch	modules/lang-painless/src/main/java/org/elasticsearch/painless/MethodWriter.java	use	set(int)	Extension of {@link GeneratorAdapter} with some utility methods
elasticsearch	modules/lang-painless/src/main/java/org/elasticsearch/painless/PainlessScript.java	use		Abstract superclass on top of which all Painless scripts are built
elasticsearch	modules/lang-painless/src/main/java/org/elasticsearch/painless/phase/DefaultIRTreeToASMBytesPhase.java	use	BitSet(int); length()	public class DefaultIRTreeToASMBytesPhase
elasticsearch	modules/lang-painless/src/main/java/org/elasticsearch/painless/phase/PainlessUserTreeToIRTreePhase.java	use		public class PainlessUserTreeToIRTreePhase
elasticsearch	server/src/main/java/org/elasticsearch/action/search/SearchQueryThenFetchAsyncAction.java	use	BitSet(int); get(int); set(int); size()	Response to a query phase request, holding per-shard results that have been partially reduced as ...
elasticsearch	server/src/main/java/org/elasticsearch/common/logging/HeaderWarning.java	use	BitSet(int); get(int); set(int); length()	This is a simplistic logger that adds warning messages to HTTP headers
elasticsearch	server/src/main/java/org/elasticsearch/lucene/util/automaton/MinimizationOperations.java	use	BitSet(int); get(int); set(int); clear(int)	Operations for minimizing automata
elasticsearch	server/src/test/java/org/elasticsearch/common/util/ArrayUtilsTests.java	test		public class ArrayUtilsTests
elasticsearch	x-pack/plugin/autoscaling/src/test/java/org/elasticsearch/xpack/autoscaling/AutoscalingTestCase.java	test		abstract class AutoscalingTestCase
elasticsearch	x-pack/plugin/eql/src/main/java/org/elasticsearch/xpack/eql/analysis/Verifier.java	use	BitSet(int); get(int); set(int); nextSetBit()	The verifier has the role of checking the analyzed tree for failures and build a list of failures...
elasticsearch	x-pack/plugin/eql/src/main/java/org/elasticsearch/xpack/eql/parser/EqlParser.java	use		Parses an EQL statement into execution plan
elasticsearch	x-pack/plugin/eql/src/test/java/org/elasticsearch/xpack/eql/expression/function/scalar/string/BetweenFunctionPipeTests.java	test		public class BetweenFunctionPipeTests
elasticsearch	x-pack/plugin/eql/src/test/java/org/elasticsearch/xpack/eql/expression/function/scalar/string/IndexOfFunctionPipeTests.java	test		public class IndexOfFunctionPipeTests
elasticsearch	x-pack/plugin/eql/src/test/java/org/elasticsearch/xpack/eql/expression/function/scalar/string/SubstringFunctionPipeTests.java	test		public class SubstringFunctionPipeTests
elasticsearch	x-pack/plugin/esql-datasource-ndjson/src/main/java/org/elasticsearch/xpack/esql/datasource/ndjson/NdJsonPageDecoder.java	use	BitSet(int); get(int); set(int); clear(); size()	public class NdJsonPageDecoder
elasticsearch	x-pack/plugin/esql-datasource-ndjson/src/main/java/org/elasticsearch/xpack/esql/datasource/ndjson/NdJsonSchemaInferrer.java	use	BitSet(); get(int); set(int); clear()	Infers schema from NDJSON files by reading the first N lines
elasticsearch	x-pack/plugin/esql-datasource-orc/src/main/java/org/elasticsearch/xpack/esql/datasource/orc/OrcFormatReader.java	use	BitSet(int); set(int)	{@link RangeAwareFormatReader} implementation for Apache ORC files
elasticsearch	x-pack/plugin/esql/arrow/src/main/java/org/elasticsearch/xpack/esql/arrow/BlockConverter.java	use	BitSet(); BitSet(int); set(int); toByteArray()	Convert a block into Arrow buffers
elasticsearch	x-pack/plugin/esql/compute/src/main/generated-src/org/elasticsearch/compute/data/BooleanArrayBlock.java	gen		Block implementation that stores values in a {@link BooleanArrayVector}
elasticsearch	x-pack/plugin/esql/compute/src/main/generated-src/org/elasticsearch/compute/data/BooleanBigArrayBlock.java	gen		Block implementation that stores values in a {@link BooleanBigArrayVector}. Does not take ownersh...
elasticsearch	x-pack/plugin/esql/compute/src/main/generated-src/org/elasticsearch/compute/data/BytesRefArrayBlock.java	gen		Block implementation that stores values in a {@link BytesRefArrayVector}
